gate_gain	case	unimatch_dice	samatch_dice	gate_dice
0.089330	patient008_frame01	0.766699	0.800377	0.889707
0.078273	patient007_frame01	0.554428	0.781510	0.859784
0.078009	patient007_frame02	0.485818	0.742068	0.820077
0.065907	patient008_frame02	0.695069	0.778678	0.844585
0.061968	patient064_frame02	0.825421	0.784697	0.846665
0.058173	patient033_frame02	0.513516	0.518488	0.576661
0.057435	patient066_frame02	0.731818	0.713979	0.771414
0.057097	patient093_frame02	0.849663	0.840023	0.897120
0.048842	patient066_frame01	0.807642	0.838337	0.887179
0.039854	patient013_frame02	0.810681	0.804611	0.844465
0.035180	patient059_frame02	0.644328	0.688907	0.724087
0.029363	patient064_frame01	0.910477	0.885473	0.914835
0.025257	patient083_frame02	0.766128	0.841676	0.866933
0.023331	patient093_frame01	0.831640	0.853978	0.877310
0.022846	patient052_frame02	0.635668	0.707823	0.730669
0.019911	patient024_frame01	0.890833	0.884344	0.904254
0.018915	patient068_frame02	0.667091	0.820211	0.839126
0.018411	patient011_frame01	0.816220	0.838676	0.857087
0.016008	patient075_frame02	0.863021	0.865958	0.881966
0.015723	patient022_frame02	0.724707	0.754436	0.770159
0.015165	patient065_frame02	0.678557	0.714800	0.729965
0.013700	patient059_frame01	0.793194	0.893139	0.906839
0.012769	patient080_frame01	0.878964	0.894168	0.906936
0.012727	patient080_frame02	0.836823	0.845784	0.858511
0.012082	patient013_frame01	0.845392	0.863673	0.875754
0.009922	patient033_frame01	0.757103	0.784423	0.794345
0.009661	patient083_frame01	0.792572	0.833093	0.842753
0.008993	patient075_frame01	0.909189	0.927247	0.936240
0.007149	patient084_frame01	0.808230	0.862637	0.869786
0.006792	patient065_frame01	0.862695	0.878439	0.885231
0.006667	patient024_frame02	0.755760	0.772134	0.778801
0.006663	patient081_frame01	0.888578	0.899929	0.906591
0.006249	patient084_frame02	0.797572	0.827176	0.833425
0.006160	patient001_frame01	0.822836	0.828970	0.835130
0.004598	patient011_frame02	0.819750	0.832246	0.836843
0.004575	patient022_frame01	0.837679	0.845350	0.849925
-0.002319	patient081_frame02	0.847494	0.876686	0.874367
-0.007320	patient068_frame01	0.580651	0.870923	0.863602
-0.009765	patient001_frame02	0.812431	0.793569	0.783804
-0.017686	patient052_frame01	0.744544	0.802990	0.785305
